State,Current Governor,Party
"
Alabama",Robert Bentley,Republican
"
Alaska",Bill Walker,Independent
"
Arizona",Doug Ducey,Republican
"
Arkansas",Mike Beebe,Democratic
"
California",Jerry Brown,Democratic
"
Colorado",John Hickenlooper,Democratic
"
Connecticut",Dannel Malloy,Democratic
"
Delaware",Jack Markell,Democratic
"
Florida",Rick Scott,Republican
"
Georgia",Nathan Deal,Republican
"
Hawaii",David Ige,Democratic
"
Idaho",Butch Otter,Republican
"
Illinois",Pat Quinn,Democratic
"
Indiana",Mike Pence,Republican
"
Iowa",Terry Branstad,Republican
"
Kansas",Sam Brownback,Republican
"
Kentucky",Steve Beshear,Democratic
"
Louisiana",Bobby Jindal,Republican
"
Maine",Paul LePage,Republican
"
Maryland",Martin O'Malley,Democratic
"
Massachusetts",Deval Patrick,Democratic
"
Michigan",Rick Snyder,Republican
"
Minnesota",Mark Dayton,Democratic
"
Mississippi",Phil Bryant,Republican
"
Missouri",Jay Nixon,Democratic
"
Montana",Steve Bullock,Democratic
"
Nebraska",Dave Heineman,Republican
"
Nevada",Brian Sandoval,Republican
"
New Hampshire",Maggie Hassan,Democratic
"
New Jersey",Chris Christie,Republican
"
New Mexico",Susana Martinez,Republican
"
New York",Andrew Cuomo,Democratic
"
North Carolina",Pat McCrory,Republican
"
North Dakota",Jack Dalrymple,Republican
"
Ohio",John Kasich,Republican
"
Oklahoma",Mary Fallin,Republican
"
Oregon",John Kitzhaber,Democratic
"
Pennsylvania",Tom Corbett,Republican
"
Rhode Island",Gina Raimondo,Democratic
"
South Carolina",Nikki Haley,Republican
"
South Dakota",Dennis Daugaard,Republican
"
Tennessee",Bill Haslam,Republican
"
Texas",Rick Perry,Republican
"
Utah",Gary Herbert,Republican
"
Vermont",Peter Shumlin,Democratic
"
Virginia",Terry McAuliffe,Democratic
"
Washington",Jay Inslee,Democratic
"
West Virginia",Earl Ray Tomblin,Democratic
"
Wisconsin",Scott Walker,Republican
"
Wyoming",Matt Mead,Republican