"","StateYear","State","Year","CO2 Emissions (Mmt)","TotalNumberofInvestments","TotalAmountofAssistance","BDFDB","BDPRP","BFFDB","BFPRP","CLPRB","CLPRK","CLPRP","COPRK","EMFDB","ENPRP","GETCB","HYTCB","NCPRB","NGMPB","NGMPK","NGMPP","NUETB","PAPRB","PAPRP","REPRB","SOTCB","TEPRB","TETCB","WDEXB","WDPRB","WDTCB","WSTCB","WWPRB","WYTCB"
"1","AK-2020","Alaska",2020,35.9675267093938,37,9567164,0,0,0,0,15523,15.206,1021,5.691,0,0,186,15475,16851,376283,1.112,338329,0,932482,163852,24682,62,1348969,640132,0,7423,7423,407,7831,1128
"2","AL-2020","Alabama",2020,98.3085848750695,47,1174323,1558,287,1558,287,313282,25.782,12151,5.691,0,0,141,117112,120692,124831,1.067,117028,454756,24528,4310,288515,3439,1205912,1838656,5592,164778,159187,1487,166266,0
"3","AR-2020","Arkansas",2020,54.7427460739555,174,61208016,8437,1553,8437,1553,0,0,0,5.691,0,0,808,39747,43767,489956,1.019,480982,157288,23578,4143,111538,3212,782360,1034661,0,55743,55743,3591,59334,0
"4","AZ-2020","Arizona",2020,80.1367075383411,24,23756565,0,0,0,0,0,0,0,5.691,0,0,345,56354,142484,68,1.028,66,329471,28,5,152046,80134,481613,1508154,0,9297,9297,265,9562,5651
"5","CA-2020","California",2020,303.406714159634,442,58722209,4868,896,20264,3606,0,0,0,5.691,15395,2710,101857,187545,845282,192081,1.126,170579,169773,814462,143114,1013850,436716,2190166,6922764,0,108611,108611,39694,148305,119164
"6","CO-2020","Colorado",2020,79.8935675110129,46,6304206,0,0,18248,3212,210494,20.977,10035,5.691,18248,3212,759,14638,152466,2423537,1.218,1990462,0,955132,167832,186132,19632,3775295,1451112,0,14333,14333,1084,15418,117437
"7","CT-2020","Connecticut",2020,33.7683325648322,13,491729,2627,484,2627,484,0,0,0,0,0,0,21,2860,12285,0,0,0,164095,0,0,37394,9298,201489,667011,0,13126,13126,9356,22482,107
"8","DC-2020","District of Columbia",2020,2.40096297318603,NA,NA,0,0,0,0,0,0,0,0,0,0,22,0,1175,0,0,0,0,0,0,2147,1153,2147,143773,0,3,3,970,972,0
"9","DE-2020","Delaware",2020,12.4713014007627,29,23750266,0,0,0,0,0,0,0,0,0,0,430,0,2118,0,0,0,0,0,0,3571,1642,3571,277144,0,644,644,810,1454,45
"10","FL-2020","Florida",2020,207.636325496673,25,8467648,167,31,167,31,0,0,0,5.691,0,0,10056,2033,106617,1037,1.486,698,307197,8468,1488,258173,94529,574876,4003133,11932,92788,80856,58601,151389,0
"11","GA-2020","Georgia",2020,116.591838807218,151,7307409,1327,244,7968,1413,0,0,0,0,6641,1169,315,40905,77605,0,0,0,342766,0,0,313196,36385,655962,2727565,19380,220958,201578,6665,227623,0
"12","HI-2020","Hawaii",2020,14.9238082658949,19,1153848,472,87,472,87,0,0,0,0,0,0,92,867,23057,0,0,0,0,0,0,27957,16902,27957,232516,0,94,94,4334,4427,5196
"13","IA-2020","Iowa",2020,65.6508541140417,156,63476066,45404,8357,568865,100494,0,0,0,0,523461,92137,1281,8994,312229,0,0,0,30333,0,0,900015,2072,930347,1526087,0,7059,7059,11861,18920,299881
"14","ID-2020","Idaho",2020,19.359117881924,34,733911,0,0,2071,365,0,0,0,5.691,2071,365,2297,83415,115768,112,1.04,108,0,6,1,151616,5750,151734,550098,0,32280,32280,1498,33778,24306
"15","IL-2020","Illinois",2020,169.863705593308,107,3526853,20372,3750,212442,37557,689464,21.702,31769,5.691,192069,33807,2042,1184,151290,1951,1.058,1843,1046769,40782,7166,381252,5714,2160217,3612925,0,8010,8010,9510,17520,142350
"16","IN-2020","Indiana",2020,154.34803507235,49,8555854,12942,2382,144450,25530,450768,22.603,19942,5.691,131509,23148,4647,2375,66949,4419,1.053,4197,0,7979,1402,246985,4767,710151,2564421,0,18762,18762,16823,35585,55161
"17","KS-2020","Kansas",2020,57.7771544924515,39,2802130,7600,1399,79874,14120,0,0,0,5.691,72273,12721,974,284,212447,188961,1.157,163356,110502,160828,28260,299301,955,759592,1069542,0,4072,4072,2909,6980,210234
"18","KY-2020","Kentucky",2020,101.885579440226,89,11046095,6840,1259,12110,2187,571089,23.582,24217,5.691,5270,928,2712,43913,47519,81708,1.151,71018,0,12890,2265,90327,894,756015,1595472,0,27590,27590,3108,30698,0
"19","LA-2020","Louisiana",2020,183.298456253483,35,5171076,0,0,0,0,9438,13.949,677,5.691,0,0,1842,10560,15097,3311767,1.033,3206163,176988,208905,36708,131183,2695,3838280,4200360,7216,102758,95542,13328,116086,0
"20","MA-2020","Massachusetts",2020,52.2806053911977,54,21021782,96,18,96,18,0,0,0,0,0,0,859,7402,43346,0,0,0,0,0,0,73946,32995,73946,1278411,0,13952,13952,16553,30504,2090
"21","MD-2020","Maryland",2020,48.0908395529465,38,1459180,0,0,0,0,27404,23.744,1154,0,0,0,570,14886,33709,10,1.04,10,157471,0,0,47229,13467,232114,1212643,0,6292,6292,7227,13519,4787
"22","ME-2020","Maine",2020,13.5022626003292,49,1718854,48,9,48,9,0,0,0,0,0,0,72,27707,49968,0,0,0,0,0,0,132947,1176,132947,365101,0,80389,80389,2543,82932,21013
"23","MI-2020","Michigan",2020,136.777358916717,59,3543100,1161,214,43096,7595,0,0,0,5.691,41935,7381,5193,15031,82542,69854,1.076,64911,316732,23885,4197,225022,3230,635494,2610581,0,80059,80059,19325,99384,59087
"24","MN-2020","Minnesota",2020,78.3821796150309,168,29357835,10721,1973,165730,29257,0,0,0,0,155009,27284,1075,8789,129433,0,0,0,153260,0,0,351983,15774,505243,1731499,0,48121,48121,8699,56820,103795
"25","MO-2020","Missouri",2020,108.702397759965,131,4677028,30077,5536,64724,11634,3432,21.62,159,5.691,34647,6098,352,16488,50264,1,1.023,1,80843,353,62,140007,4077,224636,1702136,0,20920,20920,4099,25019,29347
"26","MS-2020","Mississippi",2020,63.1389997681584,116,2102663,3249,598,3249,598,26576,10.272,2587,5.691,0,0,958,0,4877,28956,1.029,28134,67569,80619,14166,64336,3919,268056,1037261,8927,54743,45817,1466,56210,0
"27","MT-2020","Montana",2020,26.2256151746945,32,542585,0,0,0,0,469076,17.754,26422,5.691,0,0,337,94288,122051,42367,1.116,37963,0,108044,18985,137944,593,757430,429327,0,15399,15399,493,15893,26833
"28","NC-2020","North Carolina",2020,106.533771182477,85,176369306,159,29,159,29,0,0,0,0,0,0,967,69811,151586,0,0,0,441997,0,0,281143,76016,723140,2470897,25082,119589,94507,9808,129397,4792
"29","ND-2020","North Dakota",2020,54.251280292474,18,686913,10767,1982,80535,14262,364262,13.778,26438,5.691,69767,12280,978,21497,142096,1211327,1.373,882443,0,2474953,434889,224409,12,4274952,625886,0,784,784,995,1779,119610
"30","NE-2020","Nebraska",2020,46.5092726305239,93,9134015,0,0,243518,42863,0,0,0,5.691,243518,42863,1212,12195,94055,375,1.067,351,64621,9527,1674,342292,679,416814,863654,0,2764,2764,1955,4719,79969
"31","NH-2020","New Hampshire",2020,12.4472056438363,33,996776,318,59,318,59,0,0,0,0,0,0,29,10776,16893,0,0,0,103012,0,0,45710,1484,148723,295548,0,24914,24914,3584,28499,4605
"32","NJ-2020","New Jersey",2020,83.8237942245427,10,428543,0,0,0,0,0,0,0,0,0,0,466,135,36005,0,0,0,279201,0,0,51878,35229,331078,1893854,0,3090,3090,12782,15872,176
"33","NM-2020","New Mexico",2020,45.2135590129815,19,48503359,0,0,0,0,191349,18.67,10249,5.691,0,0,835,1778,84743,2277937,1.169,1948168,0,2107958,370402,96447,18752,4673691,699738,0,11351,11351,353,11704,63378
"34","NV-2020","Nevada",2020,36.2052310706298,4,53672,0,0,0,0,0,0,0,5.691,0,0,34893,16874,111902,12,1.038,12,0,1115,196,115274,57286,116402,710083,0,2559,2559,813,3372,2849
"35","NY-2020","New York",2020,143.376672865751,78,39346669,0,0,9962,1753,0,0,0,5.691,9962,1753,1185,259241,328916,10012,1.033,9692,401287,1565,275,426161,28821,839025,3354222,0,56956,56956,30327,87283,39669
"36","OH-2020","Ohio",2020,185.631952982359,54,3038155,9219,1697,81513,14422,88255,24.607,3587,5.691,72295,12725,3435,3283,30594,2611802,1.098,2378902,190243,135554,23819,161090,3793,3186943,3404480,0,35686,35686,13297,48983,20083
"37","OK-2020","Oklahoma",2020,83.7294351468626,6,560909,4814,886,4814,886,16,20.36,1,5.691,0,0,24,25042,283986,3244434,1.164,2786366,0,977372,171740,323741,845,4545564,1579183,0,29058,29058,5884,34942,258075
"38","OR-2020","Oregon",2020,37.4817295514972,55,25808865,1442,265,5929,1055,0,0,0,0,4487,790,2917,280040,373076,337,1.053,320,0,0,0,453528,13116,453865,982979,0,68864,68864,5659,74523,77003
"39","PA-2020","Pennsylvania",2020,193.239353150192,50,2136747,3709,683,16714,2972,908798,25.018,36326,5.691,13006,2289,2162,23445,65641,7563593,1.058,7148295,799036,31483,5532,189149,7151,9492059,3412995,0,73021,73021,33772,106794,32883
"40","RI-2020","Rhode Island",2020,9.82637385572027,14,635939,557,103,557,103,0,0,0,0,0,0,57,31,6346,0,0,0,0,0,0,11420,4375,11420,175780,0,1591,1591,2925,4516,1884
"41","SC-2020","South Carolina",2020,63.4994527857016,86,145497267,0,0,0,0,0,0,0,0,0,0,648,33888,52929,0,0,0,571711,0,0,160701,18393,732412,1533340,8821,103690,94870,4081,107772,0
"42","SD-2020","South Dakota",2020,14.9425092444635,26,6976448,0,0,157168,27664,0,0,0,5.691,157168,27664,1868,51152,101696,439,1.078,407,0,5958,1047,261997,38,268394,396626,0,2945,2945,187,3132,48639
"43","TN-2020","Tennessee",2020,83.3031919098366,37,1536871,4560,839,27471,4872,2377,25.871,92,5.691,22911,4033,213,118018,122230,2866,1.035,2770,383098,939,165,202041,3656,591321,2039089,1732,48046,46314,4294,52340,344
"44","TX-2020","Texas",2020,623.962743412984,60,39546994,27279,5021,58807,10570,262510,13.337,19682,5.691,31528,5549,2478,9469,912590,11464912,1.228,9336110,432703,10109771,1776449,1059236,89658,23329131,13480760,7955,62425,54470,25413,87839,810985
"45","US-2020","United States",2020,NA,NA,NA,234744,43207,2120536,375135,10723138,20.027,535434,5.691,1885792,331928,202900,2502708,6882576,41624947,1.15,36202446,8247915,23501332,4129561,11613541,1212237,95710873,92862342,106034,2170695,2064661,439734,2610429,2964731
"46","UT-2020","Utah",2020,57.3780088293526,32,736194,0,0,0,0,296168,22.5,13163,5.691,0,0,4113,7165,45727,265927,1.099,241989,0,176142,30951,50836,27408,789072,829039,0,4011,4011,1097,5109,7041
"47","VA-2020","Virginia",2020,98.1660473290193,32,2039514,310,57,495,90,251899,25.633,9827,5.691,184,32,1701,17811,33962,107908,1.049,102824,314722,28,5,147212,14450,821769,2273099,9398,94244,84845,18512,112755,0
"48","VT-2020","Vermont",2020,5.42012120264001,23,2405926,0,0,0,0,0,0,0,0,0,0,29,9911,16528,0,0,0,0,0,0,37481,3224,37481,125702,0,20237,20237,716,20953,3365
"49","WA-2020","Washington",2020,68.3722510018769,68,2509973,9606,1768,9606,1768,0,0,0,0,0,0,1136,670342,755489,0,0,0,98437,0,0,871240,2724,969677,1779399,0,98371,98371,7774,106145,81287
"50","WI-2020","Wisconsin",2020,87.037383912266,101,9860324,4037,743,66475,11733,0,0,0,0,62437,10990,615,24457,42739,0,0,0,102032,0,0,200946,2197,302978,1708131,0,83180,83180,8551,91731,15470
"51","WV-2020","West Virginia",2020,76.9244779712639,44,1052654,0,0,0,0,1748361,25.948,67380,5.691,0,0,32,13967,30837,3121923,1.204,2592319,0,108465,19059,41440,188,5020189,803921,0,10354,10354,250,10604,16649
"52","WY-2020","Wyoming",2020,55.6211834812767,11,229763,0,0,0,0,3822600,17.49,218556,5.691,0,0,663,9527,60120,1489916,1.141,1306368,0,507017,89091,64877,1566,5884410,504390,0,4757,4757,0,4757,48362
